acronym,name,count,density (cells/mm^3)
AAA,Anterior amygdalar area,1074.0,4340.215949990528
ACA,Anterior cingulate area,32582.0,11696.871108518348
ACAd,"Anterior cingulate area, dorsal part",16173.5,10279.59680222454
ACAd1,"Anterior cingulate area, dorsal part, layer 1",1353.0,4418.635505434505
ACAd2/3,"Anterior cingulate area, dorsal part, layer 2/3",4351.5,14184.374045023938
ACAd5,"Anterior cingulate area, dorsal part, layer 5",8393.5,14042.557641031002
ACAd6a,"Anterior cingulate area, dorsal part, layer 6a",2052.0,5859.718008209888
ACAd6b,"Anterior cingulate area, dorsal part, layer 6b",23.5,1884.7117794486217
ACAv,"Anterior cingulate area, ventral part",16408.5,13536.44671882855
ACAv1,"Anterior cingulate area, ventral part, layer 1",1244.0,5197.206083948038
ACAv2/3,"Anterior cingulate area, ventral part, layer 2/3",5552.5,21204.129124649444
ACAv5,"Anterior cingulate area, ventral part, layer 5",8210.5,16479.708963181332
ACAv6a,"Anterior cingulate area, ventral part, 6a",1300.5,7158.5103638083765
ACAv6b,"Anterior cingulate area, ventral part, 6b",101.0,3251.5090543259557
ACB,Nucleus accumbens,8433.0,3835.388256027971
ACVII,Accessory facial motor nucleus,7.0,2545.454545454546
AD,Anterodorsal nucleus,132.0,1651.9358623386784
ADP,Anterodorsal preoptic nucleus,451.5,9144.303797468354
AHN,Anterior hypothalamic nucleus,2309.5,6492.488799086357
AI,Agranular insular area,27412.0,6943.894493942189
AId,"Agranular insular area, dorsal part",14139.5,7590.913666409422
AId1,"Agranular insular area, dorsal part, layer 1",1542.5,6701.513814404997
AId2/3,"Agranular insular area, dorsal part, layer 2/3",2760.5,5968.245388825079
AId5,"Agranular insular area, dorsal part, layer 5",6781.0,8973.657003432447
AId6a,"Agranular insular area, dorsal part, layer 6a",2975.0,7617.2187550008
AId6b,"Agranular insular area, dorsal part, layer 6b",80.5,3387.2452333990796
AIp,"Agranular insular area, posterior part",6130.0,5033.357282151288
AIp1,"Agranular insular area, posterior part, layer 1",638.0,3011.431521498636
AIp2/3,"Agranular insular area, posterior part, layer 2/3",1601.0,3987.081209385579
AIp5,"Agranular insular area, posterior part, layer 5",2227.0,5919.18269031106
