id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
0,root,root,-1.0,0.0,3802646.0,250.9855625,15150.855539748429
1,Basic cell groups and regions,grey,0.0,1.0,3551289.0,224.5929375,15812.113415186976
2,Cerebrum,CH,1.0,2.0,2787185.0,137.89371875,20212.55953690784
3,Cerebral cortex,CTX,2.0,3.0,2508292.0,110.753453125,22647.52862530669
4,Cortical plate,CTXpl,3.0,4.0,2441469.0,106.300359375,22967.645776126992
5,Isocortex,Isocortex,4.0,5.0,1571725.0,61.627640625,25503.572488907044
6,"Frontal pole, cerebral cortex",FRP,5.0,6.0,11387.0,0.4861875,23421.005270600333
7,"Frontal pole, layer 1",FRP1,6.0,7.0,1195.0,0.12675,9428.00788954635
8,"Frontal pole, layer 2/3",FRP2/3,6.0,7.0,2526.0,0.11703125,21583.97863818425
9,"Frontal pole, layer 5",FRP5,6.0,7.0,6004.0,0.185796875,32314.85997813472
10,"Frontal pole, layer 6a",FRP6a,6.0,7.0,1655.0,0.05609375,29504.1782729805
11,"Frontal pole, layer 6b",FRP6b,6.0,7.0,7.0,0.000515625,13575.757575757576
12,Somatomotor areas,MO,5.0,6.0,275887.0,12.231046875,22556.28670379043
18,Primary motor area,MOp,12.0,7.0,132210.0,5.676734375,23289.798547250157
19,"Primary motor area, Layer 1",MOp1,18.0,8.0,13246.0,0.664609375,19930.504290584227
20,"Primary motor area, Layer 2/3",MOp2/3,18.0,8.0,49514.0,1.8444375,26845.04083223205
21,"Primary motor area, Layer 5",MOp5,18.0,8.0,43765.0,1.636203125,26747.9014868646
22,"Primary motor area, Layer 6a",MOp6a,18.0,8.0,24918.0,1.437953125,17328.79853089787
23,"Primary motor area, Layer 6b",MOp6b,18.0,8.0,767.0,0.09353125,8200.467758102239
24,Secondary motor area,MOs,12.0,7.0,143677.0,6.5543125,21920.987136331994
25,"Secondary motor area, layer 1",MOs1,24.0,8.0,26470.0,1.1643125,22734.446293413494
26,"Secondary motor area, layer 2/3",MOs2/3,24.0,8.0,45788.0,1.901640625,24078.156197362478
27,"Secondary motor area, layer 5",MOs5,24.0,8.0,51690.0,2.26159375,22855.56369263932
28,"Secondary motor area, layer 6a",MOs6a,24.0,8.0,19460.0,1.189171875,16364.329168144848
29,"Secondary motor area, layer 6b",MOs6b,24.0,8.0,269.0,0.03759375,7155.4447215295095
