id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
10000,root,root,-1.0,0.0,1738855.0,253.297921875,6864.860900272635
10001,Basic cell groups and regions,grey,10000.0,1.0,1633325.0,225.007921875,7258.966646104891
10002,Cerebrum,CH,10001.0,2.0,1288863.0,137.983015625,9340.736569367176
10003,Cerebral cortex,CTX,10002.0,3.0,1121877.0,110.7961875,10125.592092236928
10004,Cortical plate,CTXpl,10003.0,4.0,1093543.0,106.3434375,10283.126309510166
10005,Isocortex,Isocortex,10004.0,5.0,555823.0,61.67009375,9012.84506317132
10006,"Frontal pole, cerebral cortex",FRP,10005.0,6.0,2511.0,0.486109375,5165.504162514866
10007,"Frontal pole, layer 1",FRP1,10006.0,7.0,746.0,0.126671875,5889.231528308869
10008,"Frontal pole, layer 2/3",FRP2/3,10006.0,7.0,714.0,0.117,6102.564102564103
10009,"Frontal pole, layer 5",FRP5,10006.0,7.0,838.0,0.18575,4511.440107671601
10010,"Frontal pole, layer 6a",FRP6a,10006.0,7.0,211.0,0.05615625,3757.3734001112966
10011,"Frontal pole, layer 6b",FRP6b,10006.0,7.0,2.0,0.00053125,3764.705882352941
10012,Somatomotor areas,MO,10005.0,6.0,76599.0,12.226390625,6265.054205234834
10018,Primary motor area,MOp,10012.0,7.0,36670.0,5.676359375,6460.12656659886
10019,"Primary motor area, Layer 1",MOp1,10018.0,8.0,3336.0,0.665328125,5014.067307014865
10020,"Primary motor area, Layer 2/3",MOp2/3,10018.0,8.0,14002.0,1.844640625,7590.638420424032
10021,"Primary motor area, Layer 5",MOp5,10018.0,8.0,11647.0,1.6365625,7116.746228756922
10022,"Primary motor area, Layer 6a",MOp6a,10018.0,8.0,7402.0,1.438171875,5146.811816216334
10023,"Primary motor area, Layer 6b",MOp6b,10018.0,8.0,283.0,0.09165625,3087.623593590181
10024,Secondary motor area,MOs,10012.0,7.0,39929.0,6.55003125,6096.00145037476
10025,"Secondary motor area, layer 1",MOs1,10024.0,8.0,7236.0,1.159859375,6238.6873408683705
10026,"Secondary motor area, layer 2/3",MOs2/3,10024.0,8.0,12760.0,1.902859375,6705.697839599944
10027,"Secondary motor area, layer 5",MOs5,10024.0,8.0,14276.0,2.261203125,6313.453153395938
10028,"Secondary motor area, layer 6a",MOs6a,10024.0,8.0,5560.0,1.188921875,4676.505762836604
10029,"Secondary motor area, layer 6b",MOs6b,10024.0,8.0,97.0,0.0371875,2608.403361344538
10030,Somatosensory areas,SS,10005.0,6.0,115338.0,16.666015625,6920.550333997422
10037,Primary somatosensory area,SSp,10030.0,7.0,88128.0,12.1554375,7250.088694874208
10044,"Primary somatosensory area, nose",SSp-n,10037.0,8.0,11466.0,1.5095625,7595.57818904484
10045,"Primary somatosensory area, nose, layer 1",SSp-n1,10044.0,9.0,1320.0,0.202515625,6518.01558521719
10046,"Primary somatosensory area, nose, layer 2/3",SSp-n2/3,10044.0,9.0,1993.0,0.32015625,6225.085407515862
10047,"Primary somatosensory area, nose, layer 4",SSp-n4,10044.0,9.0,882.0,0.273953125,3219.528888381908
10048,"Primary somatosensory area, nose, layer 5",SSp-n5,10044.0,9.0,2776.0,0.283515625,9791.347478644257
10049,"Primary somatosensory area, nose, layer 6a",SSp-n6a,10044.0,9.0,4304.0,0.402546875,10691.922524550711
10050,"Primary somatosensory area, nose, layer 6b",SSp-n6b,10044.0,9.0,191.0,0.026875,7106.976744186047
10051,"Primary somatosensory area, barrel field",SSp-bfd,10037.0,8.0,25347.0,3.144515625,8060.700922737505
10052,"Primary somatosensory area, barrel field, layer 1",SSp-bfd1,10051.0,9.0,4379.0,0.41946875,10439.39506816658
10053,"Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3,10051.0,9.0,6424.0,0.75809375,8473.88598046086
