id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
0,root,root,-1.0,0.0,4088794.0,250.9855625,16290.952990572914
1,Basic cell groups and regions,grey,0.0,1.0,3821572.0,224.5929375,17015.548407438233
2,Cerebrum,CH,1.0,2.0,2996598.0,137.89371875,21731.21464243635
3,Cerebral cortex,CTX,2.0,3.0,2735851.0,110.753453125,24702.17336620853
4,Cortical plate,CTXpl,3.0,4.0,2659553.0,106.300359375,25019.22868028874
5,Isocortex,Isocortex,4.0,5.0,1641426.0,61.627640625,26634.57473551463
6,"Frontal pole, cerebral cortex",FRP,5.0,6.0,11412.0,0.4861875,23472.425761666025
7,"Frontal pole, layer 1",FRP1,6.0,7.0,1407.0,0.12675,11100.591715976332
8,"Frontal pole, layer 2/3",FRP2/3,6.0,7.0,2668.0,0.11703125,22797.329773030702
9,"Frontal pole, layer 5",FRP5,6.0,7.0,5885.0,0.185796875,31674.37557816836
10,"Frontal pole, layer 6a",FRP6a,6.0,7.0,1442.0,0.05609375,25706.96378830084
11,"Frontal pole, layer 6b",FRP6b,6.0,7.0,10.0,0.000515625,19393.939393939392
12,Somatomotor areas,MO,5.0,6.0,279402.0,12.231046875,22843.670117158308
18,Primary motor area,MOp,12.0,7.0,136441.0,5.676734375,24035.121424894925
19,"Primary motor area, Layer 1",MOp1,18.0,8.0,12396.0,0.664609375,18651.557540848717
20,"Primary motor area, Layer 2/3",MOp2/3,18.0,8.0,47176.0,1.8444375,25577.445698214226
21,"Primary motor area, Layer 5",MOp5,18.0,8.0,39728.0,1.636203125,24280.603913404702
22,"Primary motor area, Layer 6a",MOp6a,18.0,8.0,35419.0,1.437953125,24631.540058025188
23,"Primary motor area, Layer 6b",MOp6b,18.0,8.0,1722.0,0.09353125,18410.95890410959
24,Secondary motor area,MOs,12.0,7.0,142961.0,6.5543125,21811.74608320857
25,"Secondary motor area, layer 1",MOs1,24.0,8.0,20507.0,1.1643125,17612.96902678619
26,"Secondary motor area, layer 2/3",MOs2/3,24.0,8.0,36576.0,1.901640625,19233.91808060474
27,"Secondary motor area, layer 5",MOs5,24.0,8.0,57595.0,2.26159375,25466.554282792837
28,"Secondary motor area, layer 6a",MOs6a,24.0,8.0,27559.0,1.189171875,23174.95105575046
29,"Secondary motor area, layer 6b",MOs6b,24.0,8.0,724.0,0.03759375,19258.520365752283
30,Somatosensory areas,SS,5.0,6.0,506777.0,16.666171875,30407.52272333085
37,Primary somatosensory area,SSp,30.0,7.0,373582.0,12.1535,30738.634961122312
44,"Primary somatosensory area, nose",SSp-n,37.0,8.0,51297.0,1.509703125,33978.20349613438
45,"Primary somatosensory area, nose, layer 1",SSp-n1,44.0,9.0,4148.0,0.2028125,20452.388289676423
46,"Primary somatosensory area, nose, layer 2/3",SSp-n2/3,44.0,9.0,8984.0,0.3201875,28058.5594378294
47,"Primary somatosensory area, nose, layer 4",SSp-n4,44.0,9.0,10321.0,0.274109375,37652.8529897965
48,"Primary somatosensory area, nose, layer 5",SSp-n5,44.0,9.0,9374.0,0.283515625,33063.4334527418
49,"Primary somatosensory area, nose, layer 6a",SSp-n6a,44.0,9.0,17894.0,0.402328125,44476.13499553381
50,"Primary somatosensory area, nose, layer 6b",SSp-n6b,44.0,9.0,576.0,0.02675,21532.71028037383
51,"Primary somatosensory area, barrel field",SSp-bfd,37.0,8.0,96612.0,3.145734375,30712.065445767334
52,"Primary somatosensory area, barrel field, layer 1",SSp-bfd1,51.0,9.0,11916.0,0.419375,28413.71087928465
53,"Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3,51.0,9.0,17932.0,0.75821875,23650.16692082595
54,"Primary somatosensory area, barrel field, layer 4",SSp-bfd4,51.0,9.0,21362.0,0.641265625,33312.24872688288
55,"Primary somatosensory area, barrel field, layer 5",SSp-bfd5,51.0,9.0,18767.0,0.603984375,31071.99586082008
56,"Primary somatosensory area, barrel field, layer 6a",SSp-bfd6a,51.0,9.0,24505.0,0.648828125,37768.09151113787
57,"Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b,51.0,9.0,2130.0,0.0740625,28759.493670886077
65,"Primary somatosensory area, lower limb",SSp-ll,37.0,8.0,21939.0,1.176484375,18647.93146955309
66,"Primary somatosensory area, lower limb, layer 1",SSp-ll1,65.0,9.0,3329.0,0.149265625,22302.522767716942
67,"Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3,65.0,9.0,5693.0,0.32325,17611.755607115236
68,"Primary somatosensory area, lower limb, layer 4",SSp-ll4,65.0,9.0,2498.0,0.1366875,18275.262917238226
69,"Primary somatosensory area, lower limb, layer 5",SSp-ll5,65.0,9.0,4776.0,0.278,17179.856115107912
70,"Primary somatosensory area, lower limb, layer 6a",SSp-ll6a,65.0,9.0,5170.0,0.263890625,19591.450056249632
71,"Primary somatosensory area, lower limb, layer 6b",SSp-ll6b,65.0,9.0,473.0,0.025390625,18628.92307692308
72,"Primary somatosensory area, mouth",SSp-m,37.0,8.0,125602.0,3.105328125,40447.25547320382
73,"Primary somatosensory area, mouth, layer 1",SSp-m1,72.0,9.0,8439.0,0.3904375,21614.214823115097
74,"Primary somatosensory area, mouth, layer 2/3",SSp-m2/3,72.0,9.0,28930.0,0.7490625,38621.61034626617
75,"Primary somatosensory area, mouth, layer 4",SSp-m4,72.0,9.0,31812.0,0.4736875,67158.20029027577
76,"Primary somatosensory area, mouth, layer 5",SSp-m5,72.0,9.0,19091.0,0.60871875,31362.595615791368
77,"Primary somatosensory area, mouth, layer 6a",SSp-m6a,72.0,9.0,36251.0,0.82609375,43882.42859844903
78,"Primary somatosensory area, mouth, layer 6b",SSp-m6b,72.0,9.0,1079.0,0.057328125,18821.477241755245
79,"Primary somatosensory area, upper limb",SSp-ul,37.0,8.0,48840.0,1.88471875,25913.68075475452
80,"Primary somatosensory area, upper limb, layer 1",SSp-ul1,79.0,9.0,5247.0,0.230640625,22749.6782060836
81,"Primary somatosensory area, upper limb, layer 2/3",SSp-ul2/3,79.0,9.0,14420.0,0.4891875,29477.449853072696
82,"Primary somatosensory area, upper limb, layer 4",SSp-ul4,79.0,9.0,9467.0,0.261640625,36183.21887130487
83,"Primary somatosensory area, upper limb, layer 5",SSp-ul5,79.0,9.0,8183.0,0.395625,20683.728278041075
84,"Primary somatosensory area, upper limb, layer 6a",SSp-ul6a,79.0,9.0,11038.0,0.470546875,23457.81172173336
85,"Primary somatosensory area, upper limb, layer 6b",SSp-ul6b,79.0,9.0,485.0,0.037078125,13080.48883270122
86,"Primary somatosensory area, trunk",SSp-tr,37.0,8.0,11266.0,0.700375,16085.668391932892
87,"Primary somatosensory area, trunk, layer 1",SSp-tr1,86.0,9.0,1315.0,0.10228125,12856.706385578978
88,"Primary somatosensory area, trunk, layer 2/3",SSp-tr2/3,86.0,9.0,3268.0,0.21225,15396.93757361602
89,"Primary somatosensory area, trunk, layer 4",SSp-tr4,86.0,9.0,1346.0,0.07596875,17717.81160016454
90,"Primary somatosensory area, trunk, layer 5",SSp-tr5,86.0,9.0,2841.0,0.17646875,16099.167699663538
91,"Primary somatosensory area, trunk, layer 6a",SSp-tr6a,86.0,9.0,2151.0,0.11621875,18508.201129335845
92,"Primary somatosensory area, trunk, layer 6b",SSp-tr6b,86.0,9.0,345.0,0.0171875,20072.727272727272
93,"Primary somatosensory area, unassigned",SSp-un,37.0,8.0,18026.0,0.63115625,28560.281229885622
94,"Primary somatosensory area, unassigned, layer 1",SSp-un1,93.0,9.0,1826.0,0.08315625,21958.662157083803
95,"Primary somatosensory area, unassigned, layer 2/3",SSp-un2/3,93.0,9.0,5775.0,0.165390625,34917.33585262163
96,"Primary somatosensory area, unassigned, layer 4",SSp-un4,93.0,9.0,3417.0,0.09409375,36314.845566257056
97,"Primary somatosensory area, unassigned, layer 5",SSp-un5,93.0,9.0,3286.0,0.129125,25448.209099709587
98,"Primary somatosensory area, unassigned, layer 6a",SSp-un6a,93.0,9.0,3578.0,0.146953125,24347.90005316321
99,"Primary somatosensory area, unassigned, layer 6b",SSp-un6b,93.0,9.0,144.0,0.0124375,11577.88944723618
100,Supplemental somatosensory area,SSs,30.0,7.0,133195.0,4.512671875,29515.77329118351
101,"Supplemental somatosensory area, layer 1",SSs1,100.0,8.0,16758.0,0.624,26855.76923076923
102,"Supplemental somatosensory area, layer 2/3",SSs2/3,100.0,8.0,28931.0,1.072484375,26975.68437768616
103,"Supplemental somatosensory area, layer 4",SSs4,100.0,8.0,22755.0,0.5831875,39018.32601007395
104,"Supplemental somatosensory area, layer 5",SSs5,100.0,8.0,28289.0,1.092734375,25888.26767712876
105,"Supplemental somatosensory area, layer 6a",SSs6a,100.0,8.0,34162.0,1.037703125,32920.783581527714
106,"Supplemental somatosensory area, layer 6b",SSs6b,100.0,8.0,2300.0,0.1025625,22425.35039609994
107,Gustatory areas,GU,5.0,6.0,24750.0,0.884859375,27970.54616729353
108,"Gustatory areas, layer 1",GU1,107.0,7.0,2555.0,0.0978125,26121.405750798724
109,"Gustatory areas, layer 2/3",GU2/3,107.0,7.0,6315.0,0.20109375,31403.263403263405
110,"Gustatory areas, layer 4",GU4,107.0,7.0,2558.0,0.0735,34802.72108843538
111,"Gustatory areas, layer 5",GU5,107.0,7.0,8266.0,0.272515625,30332.20572214896
112,"Gustatory areas, layer 6a",GU6a,107.0,7.0,4838.0,0.219875,22003.41102899375
113,"Gustatory areas, layer 6b",GU6b,107.0,7.0,218.0,0.0200625,10866.043613707165
114,Visceral area,VISC,5.0,6.0,29841.0,1.177078125,25351.758193620328
115,"Visceral area, layer 1",VISC1,114.0,7.0,4666.0,0.171578125,27194.608869866133
116,"Visceral area, layer 2/3",VISC2/3,114.0,7.0,5656.0,0.268859375,21037.019817516128
117,"Visceral area, layer 4",VISC4,114.0,7.0,3076.0,0.09134375,33674.991447143344
118,"Visceral area, layer 5",VISC5,114.0,7.0,9322.0,0.35340625,26377.57538243877
119,"Visceral area, layer 6a",VISC6a,114.0,7.0,6687.0,0.267125,25033.224145999066
