id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
10000,root,root,-1.0,0.0,3895260.0,253.297921875,15378.175909087293
10001,Basic cell groups and regions,grey,10000.0,1.0,3541645.0,225.007921875,15740.0902620998
10002,Cerebrum,CH,10001.0,2.0,2803853.0,137.983015625,20320.276284003703
10003,Cerebral cortex,CTX,10002.0,3.0,2556308.0,110.7961875,23072.16572772416
10004,Cortical plate,CTXpl,10003.0,4.0,2495059.0,106.3434375,23462.2752344262
10005,Isocortex,Isocortex,10004.0,5.0,1507403.0,61.67009375,24443.01456895385
10006,"Frontal pole, cerebral cortex",FRP,10005.0,6.0,14198.0,0.486109375,29207.418597923563
10007,"Frontal pole, layer 1",FRP1,10006.0,7.0,2754.0,0.126671875,21741.211298877515
10008,"Frontal pole, layer 2/3",FRP2/3,10006.0,7.0,3958.0,0.117,33829.05982905983
10009,"Frontal pole, layer 5",FRP5,10006.0,7.0,6245.0,0.18575,33620.45760430687
10010,"Frontal pole, layer 6a",FRP6a,10006.0,7.0,1230.0,0.05615625,21903.171953255427
10011,"Frontal pole, layer 6b",FRP6b,10006.0,7.0,11.0,0.00053125,20705.88235294117
10012,Somatomotor areas,MO,10005.0,6.0,255232.0,12.226390625,20875.49856930896
10018,Primary motor area,MOp,10012.0,7.0,123683.0,5.676359375,21789.141918097816
10019,"Primary motor area, Layer 1",MOp1,10018.0,8.0,12210.0,0.665328125,18351.8470679411
10020,"Primary motor area, Layer 2/3",MOp2/3,10018.0,8.0,38234.0,1.844640625,20727.07251581863
10021,"Primary motor area, Layer 5",MOp5,10018.0,8.0,36010.0,1.6365625,22003.437082299028
10022,"Primary motor area, Layer 6a",MOp6a,10018.0,8.0,35510.0,1.438171875,24691.068305031346
10023,"Primary motor area, Layer 6b",MOp6b,10018.0,8.0,1719.0,0.09165625,18754.858506648485
10024,Secondary motor area,MOs,10012.0,7.0,131549.0,6.55003125,20083.720974613672
10025,"Secondary motor area, layer 1",MOs1,10024.0,8.0,20391.0,1.159859375,17580.579542239768
10026,"Secondary motor area, layer 2/3",MOs2/3,10024.0,8.0,35922.0,1.902859375,18877.9057832374
10027,"Secondary motor area, layer 5",MOs5,10024.0,8.0,50427.0,2.261203125,22300.95980430772
10028,"Secondary motor area, layer 6a",MOs6a,10024.0,8.0,24224.0,1.188921875,20374.761798373
10029,"Secondary motor area, layer 6b",MOs6b,10024.0,8.0,585.0,0.0371875,15731.09243697479
10030,Somatosensory areas,SS,10005.0,6.0,435096.0,16.666015625,26106.779796085782
10037,Primary somatosensory area,SSp,10030.0,7.0,291514.0,12.1554375,23982.18904091276
10044,"Primary somatosensory area, nose",SSp-n,10037.0,8.0,37849.0,1.5095625,25072.8273920424
10045,"Primary somatosensory area, nose, layer 1",SSp-n1,10044.0,9.0,4849.0,0.202515625,23943.83149448345
10046,"Primary somatosensory area, nose, layer 2/3",SSp-n2/3,10044.0,9.0,8140.0,0.32015625,25425.085407515864
10047,"Primary somatosensory area, nose, layer 4",SSp-n4,10044.0,9.0,5884.0,0.273953125,21478.126960588605
10048,"Primary somatosensory area, nose, layer 5",SSp-n5,10044.0,9.0,7133.0,0.283515625,25159.10719206393
10049,"Primary somatosensory area, nose, layer 6a",SSp-n6a,10044.0,9.0,11349.0,0.402546875,28192.98994682296
10050,"Primary somatosensory area, nose, layer 6b",SSp-n6b,10044.0,9.0,494.0,0.026875,18381.39534883721
10051,"Primary somatosensory area, barrel field",SSp-bfd,10037.0,8.0,64291.0,3.144515625,20445.438238202427
10052,"Primary somatosensory area, barrel field, layer 1",SSp-bfd1,10051.0,9.0,10820.0,0.41946875,25794.53177382105
10053,"Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3,10051.0,9.0,14730.0,0.75809375,19430.31452244528
10054,"Primary somatosensory area, barrel field, layer 4",SSp-bfd4,10051.0,9.0,11539.0,0.641375,17991.034885987137
10055,"Primary somatosensory area, barrel field, layer 5",SSp-bfd5,10051.0,9.0,11250.0,0.6041875,18620.04758456605
10056,"Primary somatosensory area, barrel field, layer 6a",SSp-bfd6a,10051.0,9.0,14350.0,0.64875,22119.46050096339
10057,"Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b,10051.0,9.0,1602.0,0.072640625,22053.7750053775
10065,"Primary somatosensory area, lower limb",SSp-ll,10037.0,8.0,19220.0,1.17609375,16342.234622027368
10066,"Primary somatosensory area, lower limb, layer 1",SSp-ll1,10065.0,9.0,2446.0,0.14996875,16310.064596790997
10067,"Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3,10065.0,9.0,4751.0,0.32334375,14693.341065043009
10068,"Primary somatosensory area, lower limb, layer 4",SSp-ll4,10065.0,9.0,2158.0,0.13634375,15827.641531056612
10069,"Primary somatosensory area, lower limb, layer 5",SSp-ll5,10065.0,9.0,4101.0,0.2776875,14768.399729912222
10070,"Primary somatosensory area, lower limb, layer 6a",SSp-ll6a,10065.0,9.0,5254.0,0.26378125,19918.019192038857
10071,"Primary somatosensory area, lower limb, layer 6b",SSp-ll6b,10065.0,9.0,510.0,0.02496875,20425.53191489361
10072,"Primary somatosensory area, mouth",SSp-m,10037.0,8.0,109643.0,3.1075,35283.34674175382
10073,"Primary somatosensory area, mouth, layer 1",SSp-m1,10072.0,9.0,10534.0,0.39221875,26857.46155684806
10074,"Primary somatosensory area, mouth, layer 2/3",SSp-m2/3,10072.0,9.0,26777.0,0.749703125,35716.80456847502
10075,"Primary somatosensory area, mouth, layer 4",SSp-m4,10072.0,9.0,24603.0,0.473421875,51968.44780355787
10076,"Primary somatosensory area, mouth, layer 5",SSp-m5,10072.0,9.0,18106.0,0.60925,29718.506360279032
10077,"Primary somatosensory area, mouth, layer 6a",SSp-m6a,10072.0,9.0,28407.0,0.8255625,34409.26640926641
10078,"Primary somatosensory area, mouth, layer 6b",SSp-m6b,10072.0,9.0,1216.0,0.05734375,21205.449591280656
10079,"Primary somatosensory area, upper limb",SSp-ul,10037.0,8.0,40861.0,1.88615625,21663.63470682771
10080,"Primary somatosensory area, upper limb, layer 1",SSp-ul1,10079.0,9.0,5167.0,0.231265625,22342.274170664143
10081,"Primary somatosensory area, upper limb, layer 2/3",SSp-ul2/3,10079.0,9.0,9257.0,0.48934375,18917.17223322051
10082,"Primary somatosensory area, upper limb, layer 4",SSp-ul4,10079.0,9.0,6680.0,0.261640625,25531.203344281872
10083,"Primary somatosensory area, upper limb, layer 5",SSp-ul5,10079.0,9.0,6945.0,0.3961875,17529.578797917653
10084,"Primary somatosensory area, upper limb, layer 6a",SSp-ul6a,10079.0,9.0,12154.0,0.47053125,25830.377897323506
10085,"Primary somatosensory area, upper limb, layer 6b",SSp-ul6b,10079.0,9.0,658.0,0.0371875,17694.117647058825
