id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
0,root,root,-1.0,0.0,2142225.0,250.9855625,8535.251903184671
1,Basic cell groups and regions,grey,0.0,1.0,2028564.0,224.5929375,9032.180720286451
2,Cerebrum,CH,1.0,2.0,1690543.0,137.89371875,12259.753492216263
3,Cerebral cortex,CTX,2.0,3.0,1582934.0,110.753453125,14292.41215814236
4,Cortical plate,CTXpl,3.0,4.0,1560228.0,106.300359375,14677.5421002663
5,Isocortex,Isocortex,4.0,5.0,853076.0,61.627640625,13842.425109066067
6,"Frontal pole, cerebral cortex",FRP,5.0,6.0,6857.0,0.4861875,14103.612289497363
7,"Frontal pole, layer 1",FRP1,6.0,7.0,1688.0,0.12675,13317.554240631163
8,"Frontal pole, layer 2/3",FRP2/3,6.0,7.0,1377.0,0.11703125,11766.088117489986
9,"Frontal pole, layer 5",FRP5,6.0,7.0,3013.0,0.185796875,16216.634429400388
10,"Frontal pole, layer 6a",FRP6a,6.0,7.0,779.0,0.05609375,13887.465181058496
11,"Frontal pole, layer 6b",FRP6b,6.0,7.0,0.0,0.000515625,0.0
12,Somatomotor areas,MO,5.0,6.0,163092.0,12.231046875,13334.2633436682
18,Primary motor area,MOp,12.0,7.0,74017.0,5.676734375,13038.658339549313
19,"Primary motor area, Layer 1",MOp1,18.0,8.0,9874.0,0.664609375,14856.8473022217
20,"Primary motor area, Layer 2/3",MOp2/3,18.0,8.0,28486.0,1.8444375,15444.275016095691
21,"Primary motor area, Layer 5",MOp5,18.0,8.0,23378.0,1.636203125,14287.957065232962
22,"Primary motor area, Layer 6a",MOp6a,18.0,8.0,11892.0,1.437953125,8270.088776363973
23,"Primary motor area, Layer 6b",MOp6b,18.0,8.0,387.0,0.09353125,4137.654527230204
24,Secondary motor area,MOs,12.0,7.0,89075.0,6.5543125,13590.288836548456
25,"Secondary motor area, layer 1",MOs1,24.0,8.0,15893.0,1.1643125,13650.115411455256
26,"Secondary motor area, layer 2/3",MOs2/3,24.0,8.0,23586.0,1.901640625,12402.97440532435
27,"Secondary motor area, layer 5",MOs5,24.0,8.0,35354.0,2.26159375,15632.33892028575
28,"Secondary motor area, layer 6a",MOs6a,24.0,8.0,13934.0,1.189171875,11717.397874045751
29,"Secondary motor area, layer 6b",MOs6b,24.0,8.0,308.0,0.03759375,8192.851205320032
30,Somatosensory areas,SS,5.0,6.0,302568.0,16.666171875,18154.61896525053
37,Primary somatosensory area,SSp,30.0,7.0,225253.0,12.1535,18534.00255070556
44,"Primary somatosensory area, nose",SSp-n,37.0,8.0,32995.0,1.509703125,21855.29025781145
45,"Primary somatosensory area, nose, layer 1",SSp-n1,44.0,9.0,4205.0,0.2028125,20733.436055469952
46,"Primary somatosensory area, nose, layer 2/3",SSp-n2/3,44.0,9.0,8154.0,0.3201875,25466.328323248097
47,"Primary somatosensory area, nose, layer 4",SSp-n4,44.0,9.0,7281.0,0.274109375,26562.3895570883
48,"Primary somatosensory area, nose, layer 5",SSp-n5,44.0,9.0,6676.0,0.283515625,23547.203086249658
49,"Primary somatosensory area, nose, layer 6a",SSp-n6a,44.0,9.0,6431.0,0.402328125,15984.465416132663
