id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
10000,root,root,-1.0,0.0,1089909.0,253.297921875,4302.873833042576
10001,Basic cell groups and regions,grey,10000.0,1.0,1016109.0,225.007921875,4515.88100335634
10002,Cerebrum,CH,10001.0,2.0,794915.0,137.983015625,5760.962654710786
10003,Cerebral cortex,CTX,10002.0,3.0,736343.0,110.7961875,6645.92362440269
10004,Cortical plate,CTXpl,10003.0,4.0,726236.0,106.3434375,6829.1567121854605
10005,Isocortex,Isocortex,10004.0,5.0,320803.0,61.67009375,5201.921717526171
10006,"Frontal pole, cerebral cortex",FRP,10005.0,6.0,2482.0,0.486109375,5105.846806595738
10007,"Frontal pole, layer 1",FRP1,10006.0,7.0,622.0,0.126671875,4910.324411002837
10008,"Frontal pole, layer 2/3",FRP2/3,10006.0,7.0,469.0,0.117,4008.547008547008
10009,"Frontal pole, layer 5",FRP5,10006.0,7.0,1058.0,0.18575,5695.827725437416
10010,"Frontal pole, layer 6a",FRP6a,10006.0,7.0,329.0,0.05615625,5858.653311074013
10011,"Frontal pole, layer 6b",FRP6b,10006.0,7.0,4.0,0.00053125,7529.411764705882
10012,Somatomotor areas,MO,10005.0,6.0,70291.0,12.226390625,5749.12107390647
10018,Primary motor area,MOp,10012.0,7.0,29170.0,5.676359375,5138.857157013601
10019,"Primary motor area, Layer 1",MOp1,10018.0,8.0,5196.0,0.665328125,7809.680373875672
10020,"Primary motor area, Layer 2/3",MOp2/3,10018.0,8.0,8542.0,1.844640625,4630.712283049713
10021,"Primary motor area, Layer 5",MOp5,10018.0,8.0,9468.0,1.6365625,5785.296925720832
10022,"Primary motor area, Layer 6a",MOp6a,10018.0,8.0,5755.0,1.438171875,4001.607944113077
10023,"Primary motor area, Layer 6b",MOp6b,10018.0,8.0,209.0,0.09165625,2280.259120354586
10024,Secondary motor area,MOs,10012.0,7.0,41121.0,6.55003125,6277.985314955558
10025,"Secondary motor area, layer 1",MOs1,10024.0,8.0,8488.0,1.159859375,7318.1285446781
10026,"Secondary motor area, layer 2/3",MOs2/3,10024.0,8.0,9760.0,1.902859375,5129.123112421274
10027,"Secondary motor area, layer 5",MOs5,10024.0,8.0,16986.0,2.261203125,7511.9301809739
10028,"Secondary motor area, layer 6a",MOs6a,10024.0,8.0,5788.0,1.188921875,4868.276143039256
10029,"Secondary motor area, layer 6b",MOs6b,10024.0,8.0,99.0,0.0371875,2662.18487394958
10030,Somatosensory areas,SS,10005.0,6.0,70910.0,16.666015625,4254.766201804758
10037,Primary somatosensory area,SSp,10030.0,7.0,59108.0,12.1554375,4862.67976779939
10044,"Primary somatosensory area, nose",SSp-n,10037.0,8.0,7753.0,1.5095625,5135.925143874467
10045,"Primary somatosensory area, nose, layer 1",SSp-n1,10044.0,9.0,1300.0,0.202515625,6419.25777331996
10046,"Primary somatosensory area, nose, layer 2/3",SSp-n2/3,10044.0,9.0,1481.0,0.32015625,4625.866276232309
10047,"Primary somatosensory area, nose, layer 4",SSp-n4,10044.0,9.0,724.0,0.273953125,2642.787885701249
10048,"Primary somatosensory area, nose, layer 5",SSp-n5,10044.0,9.0,2054.0,0.283515625,7244.750620005511
10049,"Primary somatosensory area, nose, layer 6a",SSp-n6a,10044.0,9.0,2051.0,0.402546875,5095.058805263362
10050,"Primary somatosensory area, nose, layer 6b",SSp-n6b,10044.0,9.0,143.0,0.026875,5320.930232558139
10051,"Primary somatosensory area, barrel field",SSp-bfd,10037.0,8.0,13380.0,3.144515625,4255.0273541731885
10052,"Primary somatosensory area, barrel field, layer 1",SSp-bfd1,10051.0,9.0,4475.0,0.41946875,10668.25597854429
10053,"Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3,10051.0,9.0,2459.0,0.75809375,3243.662146007667
