acronym,change
root,102.32867144167905
grey,99.89470219958844
CH,101.7496700944637
CTX,94.84347619723653
CTXpl,94.51186957532738
Isocortex,117.86371229512173
FRP,184.360108917631
FRP1,94.22863485016647
FRP2/3,251.80722891566262
FRP5,225.35599448782727
FRP6a,157.3214285714286
FRP6b,44.44444444444442
MO,79.92636613058895
MO1,
MO2/3,
MO5,
MO6a,
MO6b,
MOp,88.26740868585118
MOp1,78.91587064104041
MOp2/3,71.74420516192667
MOp5,62.56865086133381
MOp6a,166.3852504810976
MOp6b,210.38759689922486
MOs,72.7685813023284
MOs1,38.55065195586759
MOs2/3,94.54124040920716
MOs5,62.70525812859913
MOs6a,109.74647887323945
MOs6b,111.8012422360248
SS,130.6816086366151
SS1,
SS2/3,
SS4,
SS5,
SS6a,
SS6b,
SSp,102.33976101393196
SSp1,
SSp2/3,
SSp4,
SSp5,
SSp6a,
SSp6b,
SSp-n,42.89232730644415
SSp-n1,131.6560270371761
SSp-n2/3,45.0057240984545
SSp-n4,-13.72098954348379
SSp-n5,34.87137607186608
SSp-n6a,67.84259060690547
SSp-n6b,97.97687861271675
SSp-bfd,124.42602839187806
SSp-bfd1,94.70919805277993
SSp-bfd2/3,128.64245568525726
SSp-bfd4,123.35272841641769
SSp-bfd5,84.38182863714778
SSp-bfd6a,183.51648351648348
SSp-bfd6b,369.8689956331878
VISrll,
VISrll1,
VISrll2/3,
VISrll4,
VISrll5,
VISrll6a,
VISrll6b,
SSp-ll,108.74959716403481
SSp-ll1,-26.66236281471919
SSp-ll2/3,198.2241014799154
SSp-ll4,74.74191328286304
SSp-ll5,129.94722955145113
SSp-ll6a,349.52259707192866
SSp-ll6b,506.862745098039
SSp-m,146.38325728258144
SSp-m1,142.87723528229856
SSp-m2/3,135.70216049382714
SSp-m4,231.5743183817063
SSp-m5,84.95265716966645
SSp-m6a,160.2916514764857
SSp-m6b,158.34710743801662
SSp-ul,87.8777703156481
SSp-ul1,16.877930196214617
SSp-ul2/3,65.33577393890853
SSp-ul4,102.26387536514116
SSp-ul5,75.70253598355038
SSp-ul6a,201.1352515169309
SSp-ul6b,260.79295154185013
SSp-tr,160.19368842878612
SSp-tr1,48.8749345892203
SSp-tr2/3,308.33333333333337
SSp-tr4,261.6525423728814
SSp-tr5,93.68811881188121
SSp-tr6a,251.73237753882916
SSp-tr6b,649.3150684931506
SSp-un,17.038228759672077
SSp-un1,26.01419878296144
SSp-un2/3,-3.7144235407622017
SSp-un4,-25.408052230685524
SSp-un5,-8.758865248226947
SSp-un6a,106.26702997275206
SSp-un6b,318.6666666666666
SSs,234.97822931785194
SSs1,306.0293603635092
SSs2/3,293.53462422054474
SSs4,264.4207352429549
SSs5,161.3655002733735
SSs6a,226.2270575533593
SSs6b,218.98428053204358
GU,195.38699092839218
GU1,181.44433299899706
GU2/3,421.66331321260895
GU4,340.1351351351353
GU5,161.35517498138498
GU6a,104.90030415680968
GU6b,19.178082191780845
VISC,213.69313113291705
VISC1,225.94268476621426
VISC2/3,428.6219081272084
VISC4,421.31350681536566
VISC5,196.74518201284798
VISC6a,127.05406049059305
VISC6b,70.96774193548387
AUD,250.48840243087596
AUDd,361.97916666666663
AUDd1,457.93413173652687
AUDd2/3,231.90661478599225
AUDd4,399.1258741258742
AUDd5,491.95402298850564
AUDd6a,273.5187424425634
AUDd6b,425.6
VISlla,
VISlla1,
VISlla2/3,
VISlla4,
VISlla5,
VISlla6a,
VISlla6b,
AUDp,229.8525338722958
AUDp1,144.73368041649982
AUDp2/3,110.67056945183609
AUDp4,259.25144965735376
AUDp5,340.83082809510796
AUDp6a,339.9239543726237
AUDp6b,460.9442060085837
AUDpo,343.6533411146776
AUDpo1,220.48929663608564
AUDpo2/3,271.0780017528484
AUDpo4,495.15789473684214
AUDpo5,421.17346938775506
AUDpo6a,399.0291262135922
AUDpo6b,554.6874999999999
AUDv,194.9476831091181
AUDv1,161.71067738231915
AUDv2/3,118.58047016274863
AUDv4,213.19972356599868
AUDv5,252.09318028359218
AUDv6a,201.7615176151762
AUDv6b,302.5510204081633
VIS,230.67670331363422
VIS1,
VIS2/3,
VIS4,
VIS5,
VIS6a,
VIS6b,
VISal,196.76802041250275
VISal1,210.9656301145663
VISal2/3,184.19117647058815
VISal4,143.9772727272727
VISal5,182.8147100424328
VISal6a,261.09324758842456
VISal6b,551.1363636363636
VISam,293.996691089577
VISam1,-9.49968334388854
VISam2/3,684.4615384615385
VISam4,609.5959595959597
VISam5,383.66228070175447
VISam6a,388.6363636363637
VISam6b,365.97222222222234
VISl,267.6764869371874
VISl1,84.92392807745505
VISl2/3,303.5312180143296
VISl4,390.59165858389906
VISl5,251.92757009345797
VISl6a,343.65325077399376
VISl6b,515.4761904761906
VISp,237.08583226821358
VISp1,70.71199087988393
VISp2/3,321.1274758760793
VISp4,208.59914195112856
VISp5,153.0651174889448
VISp6a,546.9955724225175
VISp6b,828.9411764705882
VISpl,205.15278609946074
VISpl1,274.26636568848755
VISpl2/3,238.00856531049254
VISpl4,187.77777777777774
VISpl5,148.45588235294116
VISpl6a,259.2024539877301
VISpl6b,780.0000000000001
VISpm,392.73026315789474
VISpm1,124.34860736747528
VISpm2/3,494.10187667560325
VISpm4,642.8358208955223
VISpm5,347.8538283062645
VISpm6a,412.26993865030676
VISpm6b,763.1067961165048
VISli,90.58906360009387
VISli1,48.28571428571425
VISli2/3,64.66809421841543
VISli4,66.875
VISli5,99.72170686456397
VISli6a,241.14713216957603
VISli6b,356.09756097560995
VISpor,132.29442320886017
VISpor1,84.02877697841731
VISpor2/3,104.1029994340691
VISpor4,92.88343558282212
VISpor5,159.76575955907686
VISpor6a,291.57641395908536
VISpor6b,711.4285714285711
ACA,40.55766987907438
ACA1,
ACA2/3,
ACA5,
ACA6a,
ACA6b,
ACAd,46.962624045506544
ACAd1,164.5232815964523
ACAd2/3,40.92841548891187
ACAd5,21.60600464645262
ACAd6a,82.35867446393763
ACAd6b,361.70212765957444
ACAv,34.244446475911886
ACAv1,32.87781350482315
ACAv2/3,23.764070238631234
ACAv5,32.166128737592146
ACAv6a,80.16147635524798
ACAv6b,204.950495049505
PL,30.060478894100225
PL1,35.795724465558195
PL2,
PL2/3,56.148195464707804
PL5,13.109839193240653
PL6a,64.0620592383639
PL6b,93.47826086956525
ILA,37.11969681019054
ILA1,58.27814569536427
ILA2,
ILA2/3,57.08502024291499
ILA5,26.727066817667062
ILA6a,43.92006802721092
ILA6b,200.0
ORB,139.41442350377338
ORB1,
ORB2/3,
ORB5,
ORB6a,
ORB6b,
ORBl,177.88445802193007
ORBl1,233.01310043668119
ORBl2/3,150.7064641469445
ORBl5,192.4305861613046
ORBl6a,169.29065743944636
ORBl6b,20.588235294117652
ORBm,59.42317838091334
ORBm1,72.26609963547992
ORBm2,
ORBm2/3,77.71773020162126
ORBm5,38.91997397527655
ORBm6a,81.73153296266884
ORBm6b,-8.333333333333329
ORBv,
ORBvl,185.95426312817614
ORBvl1,215.52953156822818
ORBvl2/3,167.1290106951872
ORBvl5,195.35981124655916
ORBvl6a,197.81021897810228
ORBvl6b,21.052631578947388
AI,99.64431635779948
AId,68.78956115845682
AId1,-5.186385737439223
AId2/3,97.51856547726862
AId5,67.75549329007524
AId6a,84.4201680672269
AId6b,10.559006211180137
AIp,209.08646003262646
AIp1,367.1630094043887
AIp2/3,337.10181136789504
AIp5,168.94925909295014
AIp6a,79.44218113444063
AIp6b,69.34306569343069
AIv,66.79733986699338
AIv1,-14.955640050697077
AIv2/3,89.89105649860653
AIv5,78.27616534740545
AIv6a,88.58647936786654
AIv6b,-10.000000000000025
RSP,71.67619747127645
RSPagl,183.44063482557272
RSPagl1,60.75479930191972
RSPagl2/3,174.92117390249828
RSPagl5,295.3534683040159
RSPagl6a,322.636655948553
RSPagl6b,712.0481927710845
VISmma,
VISmma1,
VISmma2/3,
VISmma4,
VISmma5,
VISmma6a,
VISmma6b,
VISmmp,
VISmmp1,
VISmmp2/3,
VISmmp4,
VISmmp5,
VISmmp6a,
VISmmp6b,
VISm,
VISm1,
VISm2/3,
VISm4,
VISm5,
VISm6a,
VISm6b,
RSPd,96.34784958951313
RSPd1,0.8003414790310455
RSPd2/3,144.95654162854532
RSPd4,
RSPd5,89.49921046695243
RSPd6a,294.54688112985485
RSPd6b,471.01449275362313
RSPv,29.20646443035073
RSPv1,22.790865601588596
RSPv2,
RSPv2/3,10.668924640135529
RSPv5,40.86134453781513
RSPv6a,139.61584633853542
RSPv6b,182.31292517006798
PTLp,77.59641904417416
PTLp1,
PTLp2/3,
PTLp4,
PTLp5,
PTLp6a,
PTLp6b,
VISa,109.05483772509923
VISa1,-10.865051903114187
VISa2/3,195.23809523809524
VISa4,91.70692431561997
VISa5,86.73708920187795
VISa6a,265.2816251154201
VISa6b,1130.952380952381
VISrl,52.43326822916671
VISrl1,10.622866894197971
VISrl2/3,61.350906095551935
VISrl4,11.426188490408665
VISrl5,37.63306199123355
VISrl6a,196.77145284621923
VISrl6b,385.7142857142857
TEa,144.2781456953642
TEa1,96.09535552815458
TEa2/3,120.13664832036437
TEa4,186.26473254759742
TEa5,174.3099068585944
TEa6a,157.24747474747477
TEa6b,235.13513513513522
PERI,124.8240469208211
PERI1,95.55935098206658
PERI2/3,138.37056504599198
PERI5,149.8073217726397
PERI6a,135.64668769716087
PERI6b,98.73417721518987
ECT,137.15310829611187
ECT1,103.64025695931478
ECT2/3,118.62017804154306
ECT5,172.73983964611554
ECT6a,151.63329820864067
ECT6b,134.0057636887608
OLF,55.22334104532549
MOB,45.46598951393817
MOBgl,
MOBgr,
MOBipl,
MOBmi,
MOBopl,
AOB,110.81537811575832
AOBgl,256.05839416058393
AOBgr,126.60588479071694
AOBmi,26.711491442542805
AON,51.98491905078731
AONd,
AONe,
AONl,
AONm,
AONpv,
AON1,
AON2,
TT,13.439298125676519
TTd,0.5317128750474764
TTd1-4,
TTd1,
TTd2,
TTd3,
TTd4,
TTv,24.00041433602653
TTv1-3,
TTv1,
TTv2,
TTv3,
DP,2.126973896229457
DP1,
DP2,
DP2/3,
DP5,
DP6a,
PIR,90.49709397511461
PIR1-3,
PIR1,
PIR2,
PIR3,
NLOT,224.69074715487386
NLOT1-3,
NLOT1,268.3563748079878
NLOT2,225.66037735849056
NLOT3,129.67741935483866
COA,109.80656536845927
COAa,93.87289103133328
COAa1,
COAa2,
COAa3,
COAp,120.82456140350877
COApl,49.91204221973453
COApl1-2,
COApl1-3,
COApl1,
COApl2,
COApl3,
COApm,206.97493685642124
COApm1-2,
COApm1-3,
COApm1,
COApm2,
COApm3,
PAA,83.13480534572925
PAA1-3,
PAA1,
PAA2,
PAA3,
TR,321.39952921035746
TR1-3,
TR1,
TR2,
TR3,
HPF,151.17253847107105
HIP,126.46039654712844
CA,122.18799389247543
CA1,136.42364614867137
CA1slm,
CA1so,
CA1sp,
CA1sr,
CA2,88.9030612244898
CA2slm,
CA2so,
CA2sp,
CA2sr,
CA3,97.70430149651335
CA3slm,
CA3slu,
CA3so,
CA3sp,
CA3sr,
DG,158.49945988412057
DG-mo,257.574269580162
DG-po,106.42434488588333
DG-sg,83.62713675213679
DG-sgz,
DGcr,
DGcr-mo,
DGcr-po,
DGcr-sg,
DGlb,
DGlb-mo,
DGlb-po,
DGlb-sg,
DGmb,
DGmb-mo,
DGmb-po,
DGmb-sg,
FC,-50.898203592814376
IG,23.41269841269843
RHP,163.52388786071697
ENT,126.57375145180028
ENTl,116.42506859080987
ENTl1,144.15375077495355
ENTl2,116.9955530850473
ENTl2/3,
ENTl2a,
ENTl2b,
ENTl3,99.65846308387745
ENTl4,
ENTl4/5,
ENTl5,117.46908392364031
ENTl5/6,
ENTl6a,103.15428983417449
ENTl6b,
ENTm,147.3684210526316
ENTm1,294.9454905847374
ENTm2,141.2796208530806
ENTm2a,
ENTm2b,
ENTm3,142.01107797187908
ENTm4,
ENTm5,70.95964875601088
ENTm5/6,
ENTm6,86.79039301310046
ENTmv,
ENTmv1,
ENTmv2,
ENTmv3,
ENTmv4,
ENTmv5/6,
PAR,170.81659973226238
PAR1,
PAR2,
PAR3,
POST,914.6112600536192
POST1,
POST2,
POST3,
PRE,404.5189504373179
PRE1,
PRE2,
PRE3,
SUB,164.2844219287137
SUBd,
SUBd-m,
SUBd-sp,
SUBd-sr,
SUBv,
SUBv-m,
SUBv-sp,
SUBv-sr,
ProS,171.81456953642387
ProSd,
ProSd-m,
